#{"t_start": 1763624523.470404, "env_id": "None"}
r,l,t
-5.3569126,50,1.681684
-4.4978266,51,1.683684
-4.241129,43,1.683684
-5.08014,55,1.684684
-5.5524287,62,1.688684
-4.0114183,45,1.689708
-5.51064,51,1.689708
-4.719031,47,1.690692
-5.6948695,52,1.698713
-4.067708,59,1.701701
-5.7760997,52,1.7027
-9.058631,63,1.7057
-5.871,56,1.707703
-4.380381,40,1.709215
-5.8409996,55,1.712215
-5.6513386,46,1.713214
-4.25755,57,1.716215
-4.59794,43,1.716215
-5.2442603,45,1.720216
-4.7550507,51,1.723218
-5.475197,57,1.723218
-5.7037406,47,1.724215
-5.6421385,41,1.726215
-4.098164,46,1.731215
-5.665473,48,1.732215
-3.999725,46,1.735216
-5.6198,39,1.737215
-4.2088084,53,1.741217
-5.0260406,56,1.751245
-5.674,43,1.759245
-4.1011033,47,1.762244
-5.7525997,49,1.762244
-4.1573777,52,1.763245
-4.102804,53,1.768245
-5.572193,61,1.771248
-5.631303,51,1.771248
-4.252804,63,1.772245
-4.3867707,61,1.775245
-5.7126994,58,1.775245
-5.6744,42,1.775245
-3.9259298,49,1.780244
-5.7184,46,1.780244
-5.6454,41,1.781245
-4.497293,52,1.781245
-5.1502514,49,1.781245
-5.7226,46,1.783245
-5.6540003,41,1.788759
-9.427151,63,1.788759
-5.6433997,40,1.788759
-5.7265997,46,1.788759
-4.62108,51,1.794758
-4.1684628,48,1.799763
-5.8139997,53,1.799763
-3.987408,42,1.799763
-4.296062,52,1.802759
-4.7801695,43,1.805761
-4.3137937,45,1.807759
-5.0597973,51,1.811758
-4.426001,57,1.813759
-5.730961,50,1.82076
-4.6712613,49,1.828768
-4.098523,42,1.828768
-4.200461,39,1.831767
-5.259773,44,1.835768
-5.7515535,57,1.849767
-5.618214,44,1.849767
-5.715107,52,1.852803
-4.304851,60,1.857794
-4.249702,53,1.857794
-4.274366,53,1.857794
-5.7101097,56,1.859794
-5.502434,49,1.859794
-9.262825,63,1.861794
-5.3671174,40,1.861794
-4.22785,51,1.861794
-5.4586473,47,1.862793
-4.0435147,53,1.864794
-5.6696324,54,1.865793
-4.1709523,55,1.865793
-5.3522234,43,1.865793
-5.6582956,59,1.867794
-5.3921537,44,1.870794
-5.7642717,50,1.871794
-5.8557997,55,1.874795
-5.646187,42,1.879794
-4.5783486,59,1.883793
-5.5070834,53,1.883793
-5.7487526,59,1.883793
-5.501491,43,1.889794
-4.1884136,60,1.899795
-5.4006896,59,1.899795
-4.2258735,60,1.905794
-5.622305,40,1.911794
-4.6889396,55,1.914801
-5.868612,55,1.914801
-5.6940002,44,1.919801
-4.2242837,55,1.919801
-5.507222,40,1.922801
-5.6544,41,1.9258
-5.6079063,47,1.927801
-5.1090612,43,1.927801
-4.269323,41,1.931801
-5.3676324,60,1.931801
-5.6458707,41,1.935801
-5.0590434,45,1.935801
-5.363839,45,1.9378
-4.9756746,49,1.9378
-5.0372157,43,1.940802
-5.0852666,43,1.943928
-4.2057076,52,1.943928
-5.6302567,51,1.946917
-4.3763905,55,1.947917
-4.0163717,57,1.948917
-5.3433523,52,1.949917
-4.6739507,60,1.955917
-5.6618376,45,1.958917
-4.3543777,49,1.958917
-4.6803346,51,1.958917
-4.1720257,63,1.961916
-5.6658,43,1.967918
-4.6743126,43,1.973917
-5.442509,40,1.975917
-5.8874197,60,1.976918
-5.7955523,62,1.979928
-4.341606,53,1.982927
-4.23647,50,1.997929
-4.7921257,52,1.997929
-5.627802,44,2.000927
-5.6320696,45,2.002927
-4.0926905,51,2.008671
-5.8662443,57,2.00967
-4.455319,57,2.013298
-4.9362407,54,2.013298
-4.6731124,48,2.015298
-9.794928,63,2.016297
-4.1389666,49,2.019298
-5.121742,59,2.019298
-5.8194,53,2.0213
-4.778717,52,2.0213
-5.0942035,47,2.025298
-5.273012,42,2.027297
-5.7072,44,2.030298
-5.6665998,42,2.030298
-4.2613,60,2.032298
-5.7567177,55,2.035298
-4.4656296,61,2.040304
-5.269313,41,2.040304
-4.9979234,58,2.040304
-4.931159,62,2.042305
-4.2094264,59,2.042305
-5.6502,41,2.045817
-5.851105,55,2.04882
-4.154868,59,2.05182
-4.1141224,53,2.053818
-5.7554092,48,2.054818
-4.578387,39,2.060818
-5.4567885,43,2.071818
-4.9882665,63,2.074818
-4.1360264,49,2.075819
-5.250412,41,2.079333
-5.79327,50,2.080333
-5.780761,62,2.083334
-5.670974,47,2.085336
-5.6526,41,2.085336
-4.640517,45,2.088334
-4.218792,44,2.091333
-5.7595963,49,2.091333
-5.4980955,44,2.091333
-4.0643396,51,2.094333
-4.3492894,47,2.094333
-5.661067,44,2.106332
-5.7295346,50,2.107333
-4.2398834,48,2.107333
-9.4279175,63,2.109333
-3.9748242,45,2.113333
-5.7005997,44,2.113333
-4.339742,41,2.113333
-5.6808,43,2.115333
-5.8563333,57,2.116333
-5.8335996,54,2.116333
-5.8666687,60,2.129989
-4.5871067,54,2.129989
-4.121726,54,2.130989
-5.1587167,52,2.135989
-5.644,40,2.140989
-5.499933,54,2.140989
-9.403392,63,2.143991
-4.940178,56,2.145912
-4.3403664,57,2.152905
-5.0267167,49,2.159417
-5.7277913,53,2.162416
-5.7165837,57,2.163416
-5.5193124,50,2.168922
-4.254832,47,2.170922
-4.8089986,54,2.171924
-5.57061,56,2.171924
-5.8191996,52,2.175922
-4.870061,57,2.175922
-4.096383,56,2.175922
-4.2680454,50,2.175922
-4.366621,52,2.175922
-5.6362,40,2.179931
-5.4704056,42,2.18193
-5.374554,41,2.18393
-5.729541,48,2.184931
-5.759113,49,2.187939
-4.1981983,45,2.189944
-5.4252243,63,2.192943
-5.7633996,50,2.193943
-4.296256,57,2.196965
-4.070395,45,2.201954
-4.1803455,60,2.202952
-5.8445134,57,2.205952
-5.7166204,46,2.208961
-5.6373625,44,2.210962
-4.1817517,51,2.210962
-4.342258,38,2.213971
-5.6809072,44,2.213971
-5.5724435,54,2.214971
-5.3866787,54,2.227699
-5.8162,52,2.228699
-4.057788,46,2.233699
-5.6132913,45,2.243699
-5.791,51,2.253934
-4.7487288,58,2.256935
-5.8194,52,2.257937
-4.462591,49,2.260934
-4.068008,47,2.260934
-10.632558,63,2.263938
-5.8644953,55,2.263938
-5.3154225,59,2.263938
-5.4935527,45,2.265935
-5.8964014,58,2.265935
-4.123678,56,2.265935
-4.2906337,59,2.269935
-5.6221857,55,2.271935
-4.9823656,61,2.272936
-5.541251,43,2.272936
-5.4704475,49,2.272936
-5.6878,43,2.274935
-5.446888,54,2.274935
-5.1282887,42,2.275935
-5.190088,61,2.277937
-4.2146873,56,2.278935
-4.260741,48,2.286984
-5.8500996,54,2.288493
-4.5921483,49,2.292493
-5.6463013,52,2.295493
-10.897692,63,2.297047
-3.8224611,55,2.297047
-3.9547682,48,2.302558
-4.3613963,59,2.305558
-5.532738,53,2.309557
-4.1195626,51,2.315073
-5.564497,48,2.320082
-5.7373996,48,2.334092
-5.475481,48,2.335098
-4.265651,41,2.336093
-4.5862083,52,2.33711
-5.6349998,40,2.3381
-5.3371124,43,2.3421
-4.266937,51,2.3421
-4.9213705,52,2.343101
-5.7978,52,2.346101
-5.7864,51,2.346101
-5.709942,47,2.349993
-4.1564784,56,2.355994
-5.4825997,43,2.359003
-5.1828094,48,2.359003
-4.2373614,58,2.360003
-5.5079474,53,2.360003
-5.7697997,51,2.362003
-4.179699,59,2.362003
-4.136858,56,2.364003
-4.2822714,63,2.367003
-5.387789,57,2.369001
-4.4666896,47,2.377002
-5.7680883,49,2.380158
-4.406359,63,2.380158
-4.202306,55,2.386158
-5.830356,55,2.389167
-4.1093125,49,2.391165
-4.4628844,61,2.391165
-4.605311,48,2.393166
-5.2541437,48,2.397023
-4.557603,46,2.398583
-4.3419037,56,2.400174
-5.7078,47,2.413927
-5.009339,43,2.414961
-5.6531196,41,2.41696
-5.78315,51,2.422959
-3.7546124,50,2.422959
-5.7962,51,2.425959
-4.859284,49,2.430959
-4.9780726,40,2.430959
-4.242102,45,2.43396
-4.216373,58,2.43396
-4.106837,48,2.435961
-5.6981997,44,2.435961
-4.2514215,56,2.438962
-5.703586,58,2.443959
-4.2367196,50,2.445961
-4.117512,56,2.445961
-5.6865997,43,2.449969
-4.806101,52,2.449969
-4.0020304,51,2.45397
-5.02204,58,2.458969
-4.197542,42,2.459969
-4.1051526,60,2.459969
-4.101988,47,2.459969
-4.0538416,45,2.468047
-5.5871882,50,2.469045
-5.4417267,53,2.469045
-5.7288,47,2.469045
-5.4818387,62,2.472045
-4.156349,49,2.477045
-5.0465536,54,2.480049
-4.931105,53,2.486045
-4.420214,43,2.488047
-4.1127157,56,2.493047
-5.6848,44,2.496045
-4.040347,49,2.499045
-4.632042,40,2.503045
-5.6977997,45,2.505044
-4.8504176,43,2.505044
-5.6892614,44,2.508045
-3.922401,52,2.508045
-5.326013,57,2.508045
-4.1953435,45,2.508045
-5.690932,44,2.508045
-5.6386,40,2.510044
-4.3502088,43,2.512045
-5.5831847,42,2.512045
-4.056823,58,2.521756
-4.5377417,61,2.533032
-5.5771523,41,2.53801
-4.346065,54,2.538998
-4.329164,51,2.543997
-5.8631473,58,2.545997
-4.8699236,59,2.551008
-5.756136,52,2.554007
-5.7053356,58,2.555007
-5.4358063,59,2.555007
-4.390445,52,2.555007
-5.141364,55,2.560019
-5.6493654,61,2.560019
-5.4186344,54,2.561516
-5.1061664,50,2.578441
-5.6793995,43,2.578441
-4.1125264,48,2.580438
-5.3084593,58,2.581441
-5.6257997,39,2.583441
-5.163183,43,2.584439
-4.2525225,58,2.584439
-5.6594,42,2.586441
-3.9603443,39,2.586441
-5.8151283,56,2.586441
-5.5816135,45,2.586441
-4.53762,45,2.590953
-4.8315964,45,2.590953
-5.304508,53,2.590953
-5.437432,44,2.594466
-5.118212,51,2.600466
-4.4824715,54,2.601469
-5.6391997,40,2.609466
-5.2574553,59,2.614487
-4.292145,53,2.617475
-5.5272098,43,2.622474
-4.9573703,58,2.634474
-5.413018,48,2.636474
-4.5980124,50,2.644473
-4.0809236,46,2.645474
-4.217156,50,2.645474
-4.1009235,63,2.65055
-4.9720154,53,2.65055
-5.433705,60,2.653551
-4.4362,53,2.65755
-5.5111065,42,2.65755
-5.8189383,53,2.65755
-4.1224785,47,2.66255
-4.429804,60,2.66355
-5.0096555,50,2.665549
-4.1097565,52,2.665549
-5.809,52,2.66755
-4.1877275,45,2.67055
-5.7113686,55,2.67055
-5.533031,52,2.672552
-4.109732,52,2.672552
-5.7655497,50,2.67555
-4.1605525,54,2.676549
-3.917449,47,2.679557
-4.2835054,58,2.6828
-5.259233,49,2.684802
-5.632445,62,2.690801
-4.4140916,60,2.692814
-10.47985,63,2.696808
-4.406564,54,2.704809
-4.745156,57,2.705809
-4.4018006,41,2.705809
-4.0190206,52,2.70981
-4.306008,58,2.713809
-4.084713,51,2.719809
-4.098001,47,2.723809
-5.469716,46,2.727809
-4.0971375,46,2.730809
-3.9816737,41,2.730809
-4.5506487,54,2.733809
-4.1718364,56,2.734809
-4.1868196,49,2.740525
-4.149929,45,2.744524
-4.361033,50,2.747523
-5.3280773,59,2.747523
-5.7316623,60,2.750535
-4.3320603,50,2.752535
-5.6949997,44,2.752535
-5.4661493,50,2.752535
-4.1941047,58,2.752535
-4.729891,57,2.758536
-4.363457,50,2.758536
-4.4012723,63,2.759535
-4.2484093,60,2.761534
-4.0608363,56,2.762535
-5.2747436,50,2.764535
-5.6412926,44,2.767535
-4.1934123,49,2.770545
-5.645,41,2.772546
-4.251409,62,2.775544
-4.359685,56,2.775544
-4.182284,55,2.779166
-5.6277194,40,2.78669
-5.791,50,2.787691
-4.167117,48,2.792689
-5.273738,42,2.792689
-5.7836,51,2.792689
-9.692827,63,2.805881
-5.7658,49,2.810879
-5.6258,39,2.81388
-5.6818,43,2.81688
-5.821948,54,2.821879
-5.6978,44,2.821879
-4.9360037,56,2.821879
-5.3321967,54,2.82288
-4.1932325,44,2.82988
-5.7271543,52,2.82988
-9.289613,63,2.830902
-4.4335003,41,2.834888
-4.8195434,52,2.835888
-4.314562,54,2.837887
-5.7454,49,2.838888
-5.1433887,52,2.841888
-4.1211553,58,2.841888
-4.7346177,63,2.843888
-4.856371,57,2.843888
-4.1511235,54,2.847888
-4.8603005,45,2.847888
-4.2254124,54,2.849887
-4.1959066,55,2.852887
-5.6966715,53,2.855887
-4.4556937,54,2.860887
-5.8096137,52,2.860887
-5.192742,55,2.869888
-5.6268706,39,2.878888
-5.8332186,54,2.879888
-4.5486813,58,2.879888
-4.346605,59,2.883739
-5.0462747,57,2.884738
-4.3542027,57,2.884738
-5.4049754,41,2.891753
-5.6945996,44,2.894263
-4.210057,52,2.896261
-4.7278376,45,2.896261
-4.0685754,42,2.898262
-5.4039516,49,2.901261
-4.3831425,59,2.901261
-4.1026106,44,2.905261
-5.6958,44,2.909261
-5.5881567,43,2.914262
-4.295594,60,2.915261
-5.7240424,46,2.917776
-5.159258,55,2.918776
-4.4439974,47,2.918776
-4.471833,41,2.920776
-5.0175824,45,2.921775
-4.314688,55,2.924776
-5.6989236,60,2.926775
-5.6913524,56,2.929775
-5.476303,53,2.929775
-5.72,45,2.932776
-4.206421,48,2.933775
-4.3537607,57,2.940775
-5.6275997,39,2.940775
-4.413805,45,2.940775
-4.2477646,53,2.945775
-4.757251,60,2.946775
-5.6709995,42,2.946775
-4.1647496,42,2.950775
-5.6471996,41,2.962326
-4.593902,42,2.962326
-5.6931996,46,2.965327
-4.2128725,55,2.970325
-5.345847,49,2.976327
-4.5650167,56,2.976327
-5.710584,45,2.976327
-3.7766085,61,2.983966
-4.3441496,53,2.992968
-5.203,46,2.992968
-4.278366,58,2.998967
-4.236103,55,3.000968
-4.124668,62,3.002966
-4.2478185,48,3.002966
-4.289132,46,3.003967
-4.0506964,52,3.004967
-4.1512423,54,3.009967
-4.090252,52,3.011967
-5.6346188,60,3.015532
-4.332675,48,3.015532
-4.4560823,62,3.017067
-4.532685,61,3.01905
-5.6958,44,3.02105
-5.5578203,47,3.02405
-4.3169513,57,3.02405
-5.1619406,46,3.02405
-5.6169186,44,3.02405
-5.3005576,51,3.026049
-5.5165496,52,3.027072
-5.8164,52,3.027072
-4.2997828,63,3.033062
-5.1457753,44,3.03506
-5.2950587,63,3.037075
-5.7086,46,3.043067
-4.9132934,56,3.055073
-4.136367,41,3.06008
-4.940552,52,3.061081
-4.1034946,57,3.06308
-5.6307755,45,3.066081
-5.1290674,58,3.071088
-5.882064,58,3.071088
-5.6193523,43,3.071088
-5.6545434,45,3.071088
-5.2922473,48,3.080097
-5.6281204,57,3.080097
-5.7692,48,3.082096
-5.6444626,41,3.083095
-4.0219865,45,3.085097
-5.6843996,44,3.085097
-3.9663076,51,3.088106
-5.521534,51,3.089105
-5.7832303,50,3.096112
-5.15738,47,3.104478
-4.050564,43,3.104478
-5.4819283,55,3.106477
-4.290056,51,3.109485
-4.6376457,51,3.111486
-5.700102,53,3.111486
-5.127027,54,3.113485
-5.799457,57,3.113485
-4.3249,59,3.121492
-5.7329674,59,3.121492
-5.092088,63,3.125493
-4.193171,55,3.128096
-5.739901,52,3.129093
-4.724089,58,3.134094
-5.6485996,41,3.140102
-5.1440096,47,3.140102
-4.1471114,47,3.142101
-5.7503996,47,3.145102
-4.7415833,55,3.147102
-5.637,40,3.150101
-5.6836,43,3.150101
-4.161495,39,3.153102
-5.676575,46,3.156102
-4.1049185,51,3.156102
-5.6982064,59,3.157102
-5.7438,47,3.159102
-4.06758,48,3.162103
-4.2133,55,3.162103
-5.652,41,3.163102
-4.1606646,56,3.171135
-5.642822,62,3.175138
-5.291193,40,3.178135
-3.8404698,45,3.179135
-5.6906,44,3.179135
-5.624648,58,3.183136
-5.625056,43,3.184135
-5.7111998,45,3.197173
-4.312441,46,3.198161
-5.798553,58,3.202161
-4.5309763,54,3.202161
-5.36853,55,3.202161
-5.7355328,46,3.204161
-4.3015122,57,3.209161
-5.3456507,44,3.215163
-5.4450293,45,3.215163
-4.865937,55,3.217227
-5.7118697,54,3.218168
-5.787478,52,3.219168
-5.171956,49,3.22617
-4.478059,48,3.22617
-4.239306,46,3.22617
-5.160178,46,3.228198
-3.9957514,44,3.228198
-4.348831,55,3.230198
-4.1158442,42,3.232197
-5.7411375,50,3.239198
-5.7425604,50,3.241197
-5.5394487,49,3.244198
-4.286406,61,3.248198
-4.7953672,58,3.25126
-5.7198,46,3.254261
-4.3093314,50,3.255261
-4.330426,60,3.260298
-4.218656,55,3.260298
-5.6415997,40,3.265298
-4.8019423,40,3.265298
-5.4448633,42,3.265298
-5.447434,51,3.266819
-4.247012,45,3.268331
-5.152127,57,3.269329
-4.309052,58,3.27333
-5.6065855,46,3.27533
-5.561838,60,3.279359
-4.2243924,47,3.287405
-4.328832,56,3.289397
-4.4162297,48,3.290398
-3.973174,43,3.292397
-4.2006307,56,3.29844
-5.4393334,46,3.300439
-4.5132575,45,3.302439
-5.8217454,55,3.306439
-5.6045656,60,3.311439
-5.270429,57,3.311439
-4.298949,53,3.311439
-5.4791718,54,3.318488
-4.000749,48,3.318488
-4.329626,57,3.320488
-5.738185,51,3.322487
-5.53527,45,3.322487
-5.107838,50,3.325486
-4.611744,63,3.331487
-5.676,43,3.335487
-4.4239163,41,3.337007
-4.8450437,48,3.338517
-4.7725625,51,3.338517
-5.7194,45,3.338517
-5.8188,52,3.338517
-4.7241364,47,3.344517
-5.7388,46,3.344517
-5.669387,49,3.346515
-4.701115,59,3.348519
-5.7864,50,3.355517
-4.320363,60,3.358552
-5.022064,51,3.359552
-5.1029305,51,3.362552
-5.667519,43,3.364552
-4.396079,43,3.367592
-5.6225176,50,3.371586
-4.361024,49,3.378586
-5.704679,48,3.383585
-4.571381,57,3.385586
-4.100771,52,3.385586
-5.731,46,3.385586
-4.294591,60,3.387101
-5.6263156,47,3.387101
-5.4852347,44,3.389611
-5.2452993,43,3.389611
-5.7339997,49,3.389611
-5.432769,43,3.391612
-4.4006243,49,3.397612
-4.169359,45,3.397612
-5.572303,40,3.401612
-5.6932855,44,3.409613
-3.904681,50,3.412611
-4.0140324,49,3.417721
-4.171882,46,3.417721
-5.7659235,49,3.421721
-4.2715974,52,3.421721
-5.442636,40,3.421721
-4.230484,63,3.423722
-4.3060994,50,3.426116
-5.318015,52,3.432879
-4.925587,60,3.434462
-5.5340257,60,3.43602
-5.577429,45,3.437575
-4.828635,46,3.440765
-4.57158,46,3.443889
-4.057287,47,3.450016
-5.475754,56,3.452017
-5.563811,60,3.454017
-4.539855,44,3.459025
-5.7262,48,3.459025
-5.425803,52,3.470562
-5.8532696,54,3.471563
-5.342278,45,3.471563
-4.2114882,52,3.471563
-4.1607833,41,3.477587
-5.7203603,55,3.480572
-4.2345886,50,3.480572
-5.1432624,48,3.482583
-3.9839134,57,3.48358
-4.6498237,60,3.48558
-4.340548,57,3.48558
-4.1508164,63,3.488634
-4.2056947,43,3.488634
-4.000269,61,3.489634
-4.2297764,41,3.489634
-4.4005017,41,3.491634
-5.090217,47,3.494634
-5.617137,45,3.496199
-3.9648852,47,3.498708
-4.787318,57,3.50524
-4.258695,41,3.508241
-5.598899,40,3.512239
-5.7348313,46,3.512239
-5.7568,50,3.515781
-5.6794,43,3.522357
-5.4546576,56,3.522357
-5.852792,62,3.526354
-4.402045,59,3.528355
-4.4174757,61,3.532354
-4.295865,55,3.538355
-4.3256707,51,3.538355
-4.8922777,52,3.540354
-4.2948904,44,3.542355
-5.3359327,45,3.552756
-4.154103,50,3.552756
-5.317666,53,3.555756
-5.624789,46,3.557765
-3.9916377,53,3.557765
-5.6533995,42,3.558764
-4.1793036,47,3.563764
-5.6991386,44,3.564763
-5.8609886,56,3.566763
-4.096054,51,3.566763
-5.542812,51,3.57077
-4.480124,56,3.57077
-4.571955,58,3.57277
-5.523054,56,3.573771
-4.3262825,55,3.57477
-4.338319,59,3.582789
-5.732907,58,3.590568
-5.6488,41,3.591569
-4.254118,62,3.592567
-4.6878247,57,3.594568
-5.1981087,47,3.594568
-5.579053,47,3.594568
-5.7567945,55,3.594568
-5.8121996,52,3.594568
-5.7128334,58,3.605014
-4.514649,60,3.611022
-5.7687716,49,3.615022
-5.30096,60,3.620357
-4.3297086,57,3.62137
-4.435154,43,3.623365
-5.767225,52,3.623365
-5.3974023,48,3.627366
-5.68941,45,3.627366
-5.731,47,3.629374
-4.353863,57,3.630374
